Player,Position,Minutes,Impact,Fatigue_Score,Predicted Impact,Sub_Recommendation,Sub Early Probability
Julian Kristoffersen,FW,18.0,0.0,5.0,0.01252394,Monitor,0.487521803
Raimonds Krollis,"FW,DF",36.0,0.027777778,2.5,0.012517911,Monitor,0.297726189
Max Kruse,"MF,FW",270.0,0.011111111,0.833333333,0.012439536,Monitor,0.19537482
Pierre Kunde,"MF,FW",378.0,0.013227513,1.261904762,0.012403363,Monitor,0.254866911
Alou Kuol,FW,9.0,0.0,0.0,0.012526955,Monitor,0.098960517
Daniel Kyereh,"MF,FW",558.0,0.008960573,2.0,0.012343074,Monitor,0.363674844
César de la Hoz,MF,1674.0000000000002,0.003584229,0.661290323,0.011969285,Sub Early,0.566353821
Rémy Labeau Lascary,"FW,MF",126.0,0.015873016,3.142857143,0.012487767,Monitor,0.361464188
Qazim Laçi,MF,216.0,0.013888889,0.416666667,0.012457623,Monitor,0.162429306
Vassilis Lambropoulos,DF,630.0,0.001587302,0.628571429,0.012318959,Sub Early,0.246156876
Sam Lammers,FW,1098.0,0.014571949,2.221311475,0.012162209,Sub Early,0.570825313
Manuel Lanzini,"MF,FW",252.0,0.007936508,0.392857143,0.012445565,Monitor,0.160348763
Juan Larios,DF,153.0,0.0,0.882352941,0.012478724,Monitor,0.162051409
Jordan Larsson,"FW,MF",459.0,0.008714597,0.725490196,0.012376233,Monitor,0.2248901
Kevin Lasagna,"FW,MF",1575.0,0.012698413,1.662857143,0.012002444,Sub Early,0.656571427
Danny Latza,MF,855.0,0.005847953,0.747368421,0.012243598,Sub Early,0.323200518
Marko Lazetić,FW,9.0,0.0,6.0,0.012526955,Monitor,0.590937701
Maxime Le Marchand,DF,2016.0,0.000992063,0.669642857,0.011854737,Sub Early,0.666365091
Paolo Lebas,MF,54.0,0.0,2.166666667,0.012511882,Monitor,0.227941925
Félix Lemaréchal,MF,288.0,0.020833333,1.3125,0.012433507,Monitor,0.249437827
Dexter Lembikisa,DF,27.0,0.0,0.0,0.012520926,Monitor,0.101062872
Tim Lemperle,"FW,MF",135.0,0.022222222,2.0,0.012484753,Monitor,0.270357519
Donovan Léon,GK,180.0,0.0,0.0,0.01246968,Monitor,0.120582181
Sergio León,FW,1332.0,0.014264264,1.385135135,0.012083834,Sub Early,0.556531842
Mehdi Léris,"MF,DF",2457.0,0.008954009,1.838827839,0.01170703,Sub Early,0.862419348
Benjamin Leroy,GK,2799.0,0.0,0.045016077,0.011592482,Monitor,0.807052373
Alexandre Letellier,GK,9.0,0.0,0.0,0.012526955,Monitor,0.098960517
Ruan Levine,"MF,FW",27.0,0.037037037,4.666666667,0.012520926,Monitor,0.535269568
Jamal Lewis,"DF,FW",9.0,0.0,0.0,0.012526955,Monitor,0.098960517
Dimitri Liénard,"DF,MF",1539.0000000000002,0.02014295,0.98245614,0.012014502,Sub Early,0.592426693
Dimitris Limnios,FW,36.0,0.055555556,0.0,0.012517911,Monitor,0.155810962
Jesse Lingard,"FW,MF",927.0,0.011866235,0.873786408,0.012219483,Sub Early,0.368433377
Mateusz Lis,GK,747.0000000000001,0.0,0.108433735,0.012279771,Monitor,0.230659663
Hugo Lloris,GK,2205.0,0.0,0.032653061,0.011791434,Monitor,0.658102937
Luka Lochoshvili,DF,1836.0,0.004357298,0.651960784,0.011915025,Sub Early,0.61773369
Rony Lopes,"MF,FW",2349.0,0.02639421,0.938697318,0.011743203,Sub Early,0.811652691
Jamal Lowe,"MF,FW",9.0,0.0,0.0,0.012526955,Monitor,0.098960517
Hirving Lozano,FW,1602.0,0.02247191,1.365168539,0.011993401,Sub Early,0.654845037
Pol Lozano,MF,18.0,0.0,4.5,0.01252394,Monitor,0.434222023
Jean Lucas,MF,288.0,0.010416667,0.75,0.012433507,Monitor,0.192486046
Andrey Lunyov,GK,90.0,0.0,0.0,0.012499825,Monitor,0.108735993
Lyanco,DF,1179.0,0.005089059,0.763358779,0.012135079,Sub Early,0.421064216
Youssouf M'Changama,MF,1080.0,0.010185185,0.916666667,0.012168238,Sub Early,0.4166273
Awer Mabil,"MF,FW",162.0,0.00617284,1.555555556,0.012475709,Monitor,0.216110825
Lisandro Magallán,DF,900.0,0.002222222,0.58,0.012228526,Monitor,0.313420938
Riyad Mahrez,"FW,MF",1917.0,0.034950443,0.901408451,0.011887896,Sub Early,0.722868255
Jordan Majchrzak,FW,18.0,0.0,0.0,0.01252394,Monitor,0.100006784
Béni Makouana,"FW,MF",198.00000000000003,0.005050505,1.227272727,0.012463652,Monitor,0.199005909
Tyrell Malacia,DF,1395.0,0.006451613,1.270967742,0.012062732,Sub Early,0.5477912
Lorenzo Malagrida,"MF,DF",108.0,0.018518519,1.333333333,0.012493796,Monitor,0.206457328
Hugo Mallo,DF,2160.0,0.009722222,0.920833333,0.011806506,Sub Early,0.743185573
Mickael Malsa,MF,72.0,0.0,1.75,0.012505854,Monitor,0.201725195
Sadio Mané,"FW,MF",1422.0,0.025316456,1.670886076,0.012053689,Sub Early,0.637123347
Thomas Mangani,MF,1332.0,0.021021021,0.790540541,0.012083834,Sub Early,0.50765554
Myziane Maolida,"MF,FW",234.0,0.012820513,1.961538462,0.012451594,Monitor,0.276322741
Sekou Mara,"FW,MF",558.0,0.016129032,2.806451613,0.012343074,Monitor,0.462405196
Agustín Marchesín,GK,1710.0,0.0,0.021052632,0.011957227,Monitor,0.501882283
